School|School ID|Full Address|Enrollment|Rpt Type Long|Governance|Achievement_Score_Final|Progress_Score_Final|Climate_Score_Final|Overall_Score_Final|Latitude|Longitude|SafetyIncidentRate|SafetyScore
Harambee Institute of Science and Technology Charter School|W02|640 N 66th St, Philadelphia, PA 19151|486|K8 School|Charter|13.0|39.0|81.0|44|39.9732138|-75.2520839108108||
Christopher Columbus Charter School|W06|916 Christian St, Philadelphia, PA 19147|818|K8 School|Charter|48.0|77.0|93.0|74|39.9479577|-75.2314136||
Eugenio Maria De Hostos Charter School|W07|6301 N 2nd St, Philadelphia, PA 19120|506|K8 School|Charter|33.0|43.0|82.0|52|40.046674|-75.123209||
Inquiry Charter School|W08|1301 Belmont Ave, Philadelphia, PA 19104|190|Elementary School|Charter|||71.0|Not Eligible|39.974859|-75.212543||
Imhotep Institute Charter High School|W09|6201 N 21st St, Philadelphia, PA 19138|579|High School|Charter|0.0|40.0|43.0|29|40.04969|-75.155388||
Laboratory Charter School of Communication and Languages|W10|800 North Orianna St, Philadelphia, PA 19123|633|K8 School|Charter|44.0|16.0|42.0|32||||
Multicultural Academy Charter School|W12|3821 N Broad St, Philadelphia, PA 19140|270|High School|Charter|8.0|93.0|82.0|59|40.0112002857143|-75.1506985306122||
Preparatory Charter School of Mathematics, Science, Technology and Careers|W13|1928 Point Breeze Ave, Philadelphia, PA 19145|578|High School|Charter|9.0|29.0|55.0|32|39.9286447022384|-75.185189241095||
West Oak Lane Charter School|W14|7115 Stenton Ave, Philadelphia, PA 19138|1063|K8 School|Charter|23.0|26.0|70.0|39|40.057566|-75.161948||
Alliance For Progress Charter School|W15|1821 N Cecil B Moore Ave, Philadelphia, PA 19121|447|K8 School|Charter|32.0|31.0|81.0|49||||
Architecture and Design Charter School|W17|105 S 7th St, Philadelphia, PA 19106|538|High School|Charter|0.0|37.0|35.0|26|39.949275|-75.1522612040816||
Freire Charter School|W18|2027 Chestnut St, Philadelphia, PA 19103|510|High School|Charter|15.0|100.0|71.0|66|39.9522059935338|-75.1740547635553||
Freire Charter School|W18|2027 Chestnut St, Philadelphia, PA 19103|510|High School|Charter|20.0|83.0|49.0|53|39.9522059935338|-75.1740547635553||
Freire Charter School|W18|2027 Chestnut St, Philadelphia, PA 19103|502|Middle School|Charter|15.0|100.0|71.0|66|39.9522059935338|-75.1740547635553||
Freire Charter School|W18|2027 Chestnut St, Philadelphia, PA 19103|502|Middle School|Charter|20.0|83.0|49.0|53|39.9522059935338|-75.1740547635553||
Math, Civics and Sciences Charter School|W21|447 N Broad St, Philadelphia, PA 19123|304|High School|Charter|0.0|31.0|68.0|31|39.9611527333333|-75.1615079333333||
Math, Civics and Sciences Charter School|W21|447 N Broad St, Philadelphia, PA 19123|304|High School|Charter|15.0|43.0|69.0|44|39.9611527333333|-75.1615079333333||
Math, Civics and Sciences Charter School|W21|447 N Broad St, Philadelphia, PA 19123|698|K8 School|Charter|0.0|31.0|68.0|31|39.9611527333333|-75.1615079333333||
Math, Civics and Sciences Charter School|W21|447 N Broad St, Philadelphia, PA 19123|698|K8 School|Charter|15.0|43.0|69.0|44|39.9611527333333|-75.1615079333333||
Philadelphia Academy Charter School|W22|11000 Roosevelt Blvd, Philadelphia, PA 19116|432|High School|Charter|65.0|81.0|96.0|81|40.1058477|-75.0004784||
