School|School ID|Full Address|Enrollment|Rpt Type Long|Governance|Achievement_Score_Final|Progress_Score_Final|Climate_Score_Final|Overall_Score_Final|Latitude|Longitude|SafetyIncidentRate|SafetyScore
Morton McMichael School|136|3543 Fairmount Ave, Philadelphia, PA 19104|400|K8 School|District|14.0|71.0|12.0|32|39.96668765|-75.1946214050501|1.375|92.0
S. Weir Mitchell School|137|5500 Kingsessing Ave, Philadelphia, PA 19143|561|K8 School|District|4.0|65.0|17.0|29|39.937499|-75.223059|3.966131907308378|77.0
Thomas G. Morton School|138|2501 S 63rd St, Philadelphia, PA 19142|633|Elementary School|District|10.0|75.0|34.0|42|39.9238843673469|-75.2276884183674|0.8688783570300158|95.0
Samuel Powel School|139|301 N 36th St, Philadelphia, PA 19104|284|Elementary School|District|39.0|2.0|87.0|43|39.960015|-75.193705|0.0880281690140845|99.0
John M. Patterson School|140|7000 Buist Ave, Philadelphia, PA 19142|643|Elementary School|District|7.0|62.0|59.0|44|39.915892|-75.236071|0.3110419906687403|98.0
James Rhoads School|141|4901 Parrish St, Philadelphia, PA 19139|563|K8 School|District|4.0|15.0|10.0|10|39.967337|-75.218817|2.575488454706927|85.0
Martha Washington School|142|766 N 44th St, Philadelphia, PA 19104|405|K8 School|District|13.0|6.0|15.0|11|39.9650669470042|-75.2109864172461|1.6049382716049383|91.0
Penrose School|144|2515 S 78th St, Philadelphia, PA 19153|590|K8 School|District|15.0|29.0|25.0|23|39.9068627142857|-75.248548|1.652542372881356|90.0
Add B. Anderson School|146|1034 S 60th St, Philadelphia, PA 19143|470|K8 School|District|8.0|9.0|14.0|10|39.9469293157895|-75.2440074736842|1.5425531914893618|91.0
Alain Locke School|147|4550 Haverford Ave, Philadelphia, PA 19139|447|K8 School|District|4.0|23.0|8.0|12|39.9722294|-75.2478824|2.1812080536912752|87.0
Rudolph Blankenburg School|149|4600 W Girard Ave, Philadelphia, PA 19131|488|K8 School|District|3.0|54.0|7.0|21|||3.125|82.0
Middle Years Alternative School|158|4725 Fairmount Ave, Philadelphia, PA 19139|255|Middle School|District|18.0|89.0|39.0|52|39.9642401020408|-75.2155489183673|1.8627450980392157|89.0
South Philadelphia High School|200|2101 S Broad St, Philadelphia, PA 19148|611|High School|District|0.0|6.0|15.0|7|39.924237|-75.169547|3.2733224222585924|81.0
Benjamin Franklin High School|201|550 N Broad St, Philadelphia, PA 19130|547|High School|District|1.0|8.0|1.0|4|||7.358318098720293|57.0
High School for Creative and Performing Arts School|202|901 S Broad St, Philadelphia, PA 19147|693|High School|District|41.0|48.0|62.0|51|39.93946415|-75.1660589572725|0.7936507936507936|95.0
Julia R. Masterman School|214|1699 Spring Garden St, Philadelphia, PA 19130|442|High School|District|97.0|57.0|96.0|83|39.96348955|-75.1656980581321|1.1312217194570136|93.0
Julia R. Masterman School|214|1699 Spring Garden St, Philadelphia, PA 19130|442|High School|District|100.0|41.0|93.0|74|39.96348955|-75.1656980581321|1.1312217194570136|93.0
Julia R. Masterman School|214|1699 Spring Garden St, Philadelphia, PA 19130|749|Middle School|District|97.0|57.0|96.0|83|39.96348955|-75.1656980581321|0.6675567423230975|96.0
Julia R. Masterman School|214|1699 Spring Garden St, Philadelphia, PA 19130|749|Middle School|District|100.0|41.0|93.0|74|39.96348955|-75.1656980581321|0.6675567423230975|96.0
Furness High School|216|1900 S 3rd St, Philadelphia, PA 19148|692|High School|District|2.0|42.0|42.0|27|||1.7341040462427746|90.0
D. Newlin Fell School|219|900 W Oregon Ave, Philadelphia, PA 19148|576|K8 School|District|45.0|89.0|66.0|68|||0.6510416666666666|96.0
Bache-Martin School|221|2201 Brown St, Philadelphia, PA 19130|479|K8 School|District|27.0|5.0|39.0|24|39.969687|-75.173998|1.7745302713987474|90.0
F. Amedee Bregy School|224|1700 Bigler St, Philadelphia, PA 19145|347|K8 School|District|8.0|51.0|27.0|29|39.914713|-75.17619|1.9452449567723344|89.0
George W. Childs School|226|1599 Wharton St, Philadelphia, PA 19146|554|K8 School|District|22.0|56.0|41.0|41|39.934623|-75.170653|1.3537906137184117|92.0
Franklin Learning Center|229|616 N 15th St, Philadelphia, PA 19130|871|High School|District|11.0|26.0|61.0|32|39.9661797058824|-75.1624401764706|0.8610792192881745|95.0
Stephen Girard School|232|1800 Snyder Ave, Philadelphia, PA 19145|605|Elementary School|District|16.0|58.0|40.0|40|39.9248761|-75.1735125|0.9917355371900827|94.0
General George A. McCall School|234|325 S 7th St, Philadelphia, PA 19106|716|K8 School|District|70.0|81.0|86.0|79|||0.06983240223463687|100.0
Delaplaine McDaniel School|237|1801 S 22nd St, Philadelphia, PA 19145|603|K8 School|District|4.0|55.0|15.0|27|39.929594|-75.181865|2.4046434494195688|86.0
William M. Meredith School|238|725 S 5th St, Philadelphia, PA 19147|614|K8 School|District|76.0|28.0|94.0|63|||0.12214983713355049|99.0
Robert Morris School|239|2600 W Thompson St, Philadelphia, PA 19121|295|K8 School|District|4.0|10.0|26.0|13|||3.389830508474576|80.0
Girard Academic Music Program|241|2136 W Ritner St, Philadelphia, PA 19145|239|High School|District|56.0|73.0|77.0|69|39.9221181836735|-75.1826102040816|1.4644351464435146|91.0
Girard Academic Music Program|241|2136 W Ritner St, Philadelphia, PA 19145|239|High School|District|84.0|46.0|93.0|72|39.9221181836735|-75.1826102040816|1.4644351464435146|91.0
Girard Academic Music Program|241|2136 W Ritner St, Philadelphia, PA 19145|333|Middle School|District|56.0|73.0|77.0|69|39.9221181836735|-75.1826102040816|1.051051051051051|94.0
