,School_ID,School_Code,School Name_x,Cohort,Subgroup,Students,Grads,Rate,Governance,Unnamed: 8,Unnamed: 9,Unnamed: 10,Test Name,Subject,School Name_y,Learning Network,Grade,Category,"Number
Tested",Below Basic Count #,Below Basic Percent %,Basic Count #,Basic Percent %,Proficient Count #,Proficient Basic Percent %,Advanced Count #,Advanced Percent %,Prof and Adv Count #,Prof and Adv. Percent %,Average Score,Average Score2
56,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,Not IEP,102,80,78%,District,,,,Keystone,Math,High School of the Future,NEIGHBORHOOD NETWORK 2,11,IEP,10,6,60%,4,40%,0,0%,0,0%,0,0%,0.35,1.400000036
57,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,Not IEP,102,80,78%,District,,,,Keystone,Math,High School of the Future,NEIGHBORHOOD NETWORK 2,11,Not IEP,82,11,13%,53,65%,14,17%,4,5%,18,22%,0.533536585,2.134146303
58,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,Not IEP,102,80,78%,District,,,,Keystone,Science,High School of the Future,NEIGHBORHOOD NETWORK 2,11,IEP,5,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
59,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,Not IEP,102,80,78%,District,,,,Keystone,Science,High School of the Future,NEIGHBORHOOD NETWORK 2,11,Not IEP,70,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
60,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,Not IEP,102,80,78%,District,,,,Keystone,Literature,High School of the Future,NEIGHBORHOOD NETWORK 2,11,IEP,9,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
61,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,Not IEP,102,80,78%,District,,,,Keystone,Literature,High School of the Future,NEIGHBORHOOD NETWORK 2,11,Not IEP,77,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
62,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,Not IEP,102,80,78%,District,,,,PSSA,Literature,High School of the Future,NEIGHBORHOOD NETWORK 2,11,IEP,3,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
63,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,Not IEP,102,80,78%,District,,,,PSSA,Literature,High School of the Future,NEIGHBORHOOD NETWORK 2,All Grades,IEP,3,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
64,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,Not IEP,102,80,78%,District,,,,PSSA,Math,High School of the Future,NEIGHBORHOOD NETWORK 2,All Grades,IEP,3,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
65,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,Not IEP,102,80,78%,District,,,,PSSA,Math,High School of the Future,NEIGHBORHOOD NETWORK 2,11,IEP,3,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
66,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,Not IEP,102,80,78%,District,,,,PSSA,Science,High School of the Future,NEIGHBORHOOD NETWORK 2,11,IEP,3,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
67,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,Not IEP,102,80,78%,District,,,,PSSA,Science,High School of the Future,NEIGHBORHOOD NETWORK 2,All Grades,IEP,3,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
68,105,105,PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,2013-2014,IEP,15,15,100%,District,,,,Keystone,Math,Paul Robeson High School for Human Services,NEIGHBORHOOD NETWORK 2,11,IEP,10,3,30%,6,60%,1,10%,0,0%,1,10%,0.45,1.800000064
69,105,105,PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,2013-2014,IEP,15,15,100%,District,,,,Keystone,Math,Paul Robeson High School for Human Services,NEIGHBORHOOD NETWORK 2,11,Not IEP,61,8,13%,40,66%,13,21%,0,0%,13,21%,0.520491803,2.08196719
70,105,105,PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,2013-2014,IEP,15,15,100%,District,,,,Keystone,Science,Paul Robeson High School for Human Services,NEIGHBORHOOD NETWORK 2,11,IEP,10,6,60%,1,10%,3,30%,0,0%,3,30%,0.425,1.700000063
71,105,105,PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,2013-2014,IEP,15,15,100%,District,,,,Keystone,Science,Paul Robeson High School for Human Services,NEIGHBORHOOD NETWORK 2,11,Not IEP,61,16,26%,25,41%,19,31%,1,2%,20,33%,0.520491803,2.08196713
72,105,105,PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,2013-2014,IEP,15,15,100%,District,,,,Keystone,Literature,Paul Robeson High School for Human Services,NEIGHBORHOOD NETWORK 2,11,IEP,10,5,50%,2,20%,3,30%,0,0%,3,30%,0.45,1.800000042
73,105,105,PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,2013-2014,IEP,15,15,100%,District,,,,Keystone,Literature,Paul Robeson High School for Human Services,NEIGHBORHOOD NETWORK 2,11,Not IEP,60,1,2%,26,43%,33,55%,0,0%,33,55%,0.633333333,2.533333378
74,105,105,PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,2013-2014,Not IEP,61,58,95%,District,,,,Keystone,Math,Paul Robeson High School for Human Services,NEIGHBORHOOD NETWORK 2,11,IEP,10,3,30%,6,60%,1,10%,0,0%,1,10%,0.45,1.800000064
